iter	RMSE
0	96.94811759
1	94.32509346
2	91.9274101
3	89.81741012
4	87.91911401
5	86.25163439
6	84.66877541
7	83.3279429
8	82.06991881
9	80.86791726
10	79.8388676
11	78.9477515
12	78.10818514
13	77.17890633
14	76.46534812
15	75.84229756
16	75.04507812
17	74.34826077
18	73.83119759
19	73.24672414
20	72.67168131
21	72.25514299
22	71.79126561
23	71.39164727
24	71.02243103
25	70.67849329
26	70.36969761
27	70.04052899
28	69.74314774
29	69.49011346
30	69.19380018
31	68.99400811
32	68.72660502
33	68.4653298
34	68.20812961
35	68.04516876
36	67.84902946
37	67.65622892
38	67.46481526
39	67.3215842
40	67.12160837
41	66.97266975
42	66.79767907
43	66.64084201
44	66.5301607
45	66.42341475
46	66.31044194
47	66.19733422
48	66.06103722
49	65.92656926
50	65.81801514
51	65.73804991
52	65.65566655
53	65.56902858
54	65.47455439
55	65.38916807
56	65.27436302
57	65.16794287
58	65.07216334
59	65.00544457
60	64.92916319
61	64.85230673
62	64.77243915
63	64.71235924
64	64.59759339
65	64.54520126
66	64.44076333
67	64.3844439
68	64.32742885
69	64.2439841
70	64.17557877
71	64.10269528
72	64.04558346
73	63.98925052
74	63.92580469
75	63.88267304
76	63.83257123
77	63.7896465
78	63.73679554
79	63.69500922
80	63.6432814
81	63.59516028
82	63.53577269
83	63.49492655
84	63.45227754
85	63.41091173
86	63.36102106
87	63.32231656
88	63.2839534
89	63.25437312
90	63.20942217
91	63.17500638
92	63.14773997
93	63.11519674
94	63.06984404
95	63.0281167
96	62.97872071
97	62.94083936
98	62.89801656
99	62.86877231
100	62.82364171
101	62.78772599
102	62.75887073
103	62.7289451
104	62.70759947
105	62.67819446
106	62.65080114
107	62.62736625
108	62.5935148
109	62.55880333
110	62.52064432
111	62.49573024
112	62.47348285
113	62.4538766
114	62.39427143
115	62.33558085
116	62.29674435
117	62.25802963
118	62.22933281
119	62.18952245
120	62.16049385
121	62.12993636
122	62.11035546
123	62.07020012
124	62.03995909
125	62.02023251
126	61.99487886
127	61.96019558
128	61.93750883
129	61.88781263
130	61.87493326
131	61.84826166
132	61.82517147
133	61.79811423
134	61.77994964
135	61.76014197
136	61.73945389
137	61.71340819
138	61.68559019
139	61.66561833
140	61.64231684
141	61.62034163
142	61.60768604
143	61.58648978
144	61.56165804
145	61.53811125
146	61.51525985
147	61.4996731
148	61.48020723
149	61.45275379
150	61.42429956
151	61.40569288
152	61.38866946
153	61.36482256
154	61.34532764
155	61.31890504
156	61.29789966
157	61.28118039
158	61.25221859
159	61.22453399
160	61.20812081
161	61.18325688
162	61.17176012
163	61.1541311
164	61.13600885
165	61.10548873
166	61.08747511
167	61.06872032
168	61.04267138
169	61.01204541
170	60.99332347
171	60.96058078
172	60.93019611
173	60.91049943
174	60.89575227
175	60.87922869
176	60.85865931
177	60.84140977
178	60.81932426
179	60.80174107
180	60.78822008
181	60.76810744
182	60.74183061
183	60.72662665
184	60.70473637
185	60.68699577
186	60.66775291
187	60.65401356
188	60.64061639
189	60.62501885
190	60.61097861
191	60.58442866
192	60.57000788
193	60.54464871
194	60.51893102
195	60.50266701
196	60.4879739
197	60.46357124
198	60.44602861
199	60.42838215
200	60.41637105
